_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,please_select_the_sentiment_feeling_of_the_product_review,1,label,please_select_the_sentiment_feeling_of_the_product_review_gold,text,this_is_a_lion
2216121972,3/26/2019 02:26:13,false,4661147698,,3/26/2019 02:25:39,false,clixsense,1.0,44980050,TUR,68,Ankara,94.54.16.1,0,,0,,So there is no way for me to plug it in here in the US unless I go by a converter.,
2216121972,3/26/2019 02:27:58,false,4661150595,,3/26/2019 02:27:19,false,clixsense,1.0,38124457,VEN,19,Agua Fría,190.198.247.68,0,,0,,So there is no way for me to plug it in here in the US unless I go by a converter.,
2216121972,3/26/2019 02:33:59,false,4661159939,,3/26/2019 02:33:36,false,clixsense,1.0,44386985,TUR,"","",176.88.93.233,0,,0,,So there is no way for me to plug it in here in the US unless I go by a converter.,
2216121973,3/26/2019 02:26:13,false,4661147690,,3/26/2019 02:25:39,false,clixsense,1.0,44980050,TUR,68,Ankara,94.54.16.1,1,,1,,"Good case, Excellent value.",
2216121973,3/26/2019 02:27:58,false,4661150604,,3/26/2019 02:27:19,false,clixsense,1.0,38124457,VEN,19,Agua Fría,190.198.247.68,1,,1,,"Good case, Excellent value.",
2216121973,3/26/2019 02:33:59,false,4661159945,,3/26/2019 02:33:36,false,clixsense,1.0,44386985,TUR,"","",176.88.93.233,1,,1,,"Good case, Excellent value.",
2216121974,3/26/2019 02:26:13,false,4661147697,,3/26/2019 02:25:39,false,clixsense,1.0,44980050,TUR,68,Ankara,94.54.16.1,1,,1,,Great for the jawbone.,
2216121974,3/26/2019 02:27:58,false,4661150597,,3/26/2019 02:27:19,false,clixsense,1.0,38124457,VEN,19,Agua Fría,190.198.247.68,1,,1,,Great for the jawbone.,
2216121974,3/26/2019 02:33:59,false,4661159937,,3/26/2019 02:33:36,false,clixsense,1.0,44386985,TUR,"","",176.88.93.233,1,,1,,Great for the jawbone.,
2216121975,3/26/2019 02:26:13,false,4661147694,,3/26/2019 02:25:39,false,clixsense,1.0,44980050,TUR,68,Ankara,94.54.16.1,0,,0,,Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,
2216121975,3/26/2019 02:27:58,false,4661150593,,3/26/2019 02:27:19,false,clixsense,1.0,38124457,VEN,19,Agua Fría,190.198.247.68,0,,0,,Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,
2216121975,3/26/2019 02:33:59,false,4661159943,,3/26/2019 02:33:36,false,clixsense,1.0,44386985,TUR,"","",176.88.93.233,0,,0,,Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,
2216121976,3/26/2019 02:41:52,false,4661169639,,3/26/2019 02:40:59,false,feca,1.0,45164444,IND,28,Kolkata,223.223.144.144,1,,1,,The mic is great.,
2216121976,3/26/2019 02:42:55,false,4661170677,,3/26/2019 02:42:12,false,clixsense,1.0,44615724,NPL,00,Kathmandu,120.89.107.64,1,,1,,The mic is great.,
2216121976,3/26/2019 02:51:28,false,4661181134,,3/26/2019 02:50:37,false,feca,1.0,45158923,ESP,29,Madrid,83.46.37.129,1,,1,,The mic is great.,
2216121977,3/26/2019 02:41:52,false,4661169641,,3/26/2019 02:40:59,false,feca,1.0,45164444,IND,28,Kolkata,223.223.144.144,1,,0,,I have to jiggle the plug to get it to line up right to get decent volume.,
2216121977,3/26/2019 02:42:55,false,4661170692,,3/26/2019 02:42:12,false,clixsense,1.0,44615724,NPL,00,Kathmandu,120.89.107.64,0,,0,,I have to jiggle the plug to get it to line up right to get decent volume.,
2216121977,3/26/2019 02:51:28,false,4661181132,,3/26/2019 02:50:37,false,feca,1.0,45158923,ESP,29,Madrid,83.46.37.129,0,,0,,I have to jiggle the plug to get it to line up right to get decent volume.,
